,,,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction,-,Proposed,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,
1000.1200.1000.58900.300,,Regular,Instruction,Miscellaneous,Expenditure$s0.00,,$0.00,,$404.00,$0.00,$0.00,$0.00,0.00
1000.4100.1000.51010.950,,Teachers,Salary,,"$52,617.40","$22,960.67",,"$68,262.20",,"$141,542.47","$98,482.00","($43,060.47)",(30.42)
1000.4100.1000.51010.990,,Teacher,Salaries,,"$12,706.98","$7,107.57",,"$19,286.85",,"$15,821.00","$101,837.00","$86,016.00",543.68
1000.4100.1000.52010.950,,Teacher,Benefits,,"$7,980.55","$1,115.22",,,"$6,322.03","$27,709.00","$5,500.00","($22,209.00)",(80.15)
1000.4100.1000.52010.990,,Teacher,Benefits,,"$1,940.39",,$321.96,,"$2,013.03","$1,158.00","$21,319.00","$20,161.00","1,741.02"
1000.4100.1000.52310.950,,Retirement,,,"$2,189.02",,$176.54,,"$2,656.51","$5,888.00","$3,463.00","($2,425.00)",(41.19)
1000.4100.1000.52310.990,,Retirement,,,$528.58,,$105.46,,$749.34,$658.00,"$3,613.00","$2,955.00",449.09
1000.4100.1000.53000.900,,Purchased,Professional,Services,$0.00,,$0.00,,$0.00,$0.00,"$6,300.00","$6,300.00",0.00
1000.4100.1000.53000.950,,Purchased,Professional,Services,$0.00,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
1000.4100.1000.53000.990,,Purchased,Professional,Services,$0.00,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
1000.4100.1000.53300.900,,Employee,Training,& Development,$0.00,,$0.00,,$0.00,$0.00,"$2,500.00","$2,500.00",0.00
1000.4100.1000.53400.950,,,Professional Services,,$642.70,,$0.00,,"$8,812.80",$250.00,$0.00,($250.00),(100.00)
1000.4100.1000.53400.990,,,Professional Services,,$0.00,,$0.00,,$0.00,$250.00,$0.00,($250.00),(100.00)
1000.4100.1000.55800.900,,Travel,- district wide,,$0.00,,$0.00,,$0.00,$0.00,$200.00,$200.00,0.00
1000.4100.1000.55800.950,,Travel,,,$164.29,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
1000.4100.1000.55800.990,,,Travel-Other,,$29.52,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
1000.4100.1000.56100.950,,,Instructional Supplies,,$264.25,,$223.35,,$349.34,$350.00,$500.00,$150.00,42.86
1000.4100.1000.56100.990,,,Instructional Supplies,,$590.39,,$0.00,,$25.34,$350.00,$500.00,$150.00,42.86
1000.4200.1000.53000.010,,Purchased,Professional,,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
1000.4200.1000.53000.050,,Purchased,Professional,,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
1000.4200.1000.53000.300,,JMG,,,"$25,000.00","$25,000.00",,"$25,000.00",,"$25,000.00","$27,000.00","$2,000.00",8.00
1000.4900.1000.51010.950,,Teacher,Salaries,,"$126,717.76","$179,841.78",,"$193,428.73",,"$206,642.00","$211,493.00","$4,851.00",2.35
1000.4900.1000.51010.990,,Teacher,Salaries,,"$55,634.87","$4,842.22",,"$10,712.93",,"$8,520.00","$11,743.00","$3,223.00",37.83
1000.4900.1000.51500.950,,Stipends,,,"$3,000.00","$3,208.64",,,"$3,000.00","$15,444.00","$12,876.00","($2,568.00)",(16.63)
,03/22/2023,,,,,,,,,,,Page 9,
