,,,,RSU,No.,5,,,,,
Article 2,Special,Education - Proposed,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.2100.1000.51210.300,,Tutor Salaries/ESY,$717.60,,$0.00,,$0.00,"$5,000.00","$5,000.00",$0.00,0.00
1000.2100.1000.51210.950,,Tutor Salaries/ESY,"$7,185.00","$6,359.06",,"$16,109.23",,"$18,000.00","$18,000.00",$0.00,0.00
1000.2100.1000.52010.300,,Benefits,$60.08,,$0.00,,$0.00,$250.00,$250.00,$0.00,0.00
1000.2100.1000.52010.950,,Benefit,$189.88,"$1,153.53",,,$388.17,$0.00,$0.00,$0.00,0.00
1000.2100.1000.52030.300,,Tutor Benefits,$0.00,,$0.00,,$0.00,$198.00,$198.00,$0.00,0.00
1000.2100.1000.52030.950,,Benefits,$0.00,,$0.00,,$0.00,$900.00,$900.00,$0.00,0.00
1000.2100.1000.52310.950,,Retirement,$376.26,,$168.76,,$560.09,$0.00,$0.00,$0.00,0.00
1000.2100.1000.52330.950,,Retirement,$0.00,,$0.00,,$0.00,$714.00,$714.00,$0.00,0.00
1000.2100.1000.53440.300,,Purchased Professional,$0.00,,$344.00,,$0.00,"$1,000.00","$1,000.00",$0.00,0.00
1000.2100.1000.53440.950,,Purchased Professional,$863.62,"$1,472.75",,,"$5,774.55","$1,000.00","$1,000.00",$0.00,0.00
1000.2200.1000.51010.010,,Teacher Salaries,"$141,049.22","$197,594.07",,"$209,896.59",,"$232,037.00","$238,883.00","$6,846.00",2.95
1000.2200.1000.51010.020,,Teacher Salaries,"$258,883.42","$189,588.27",,"$72,280.56",,"$72,067.00","$82,812.00","$10,745.00",14.91
1000.2200.1000.51010.030,,Teacher Salaries,"$92,909.86","$45,743.71",,"$37,121.30",,"$44,563.00","$60,944.00","$16,381.00",36.76
1000.2200.1000.51010.040,,Teacher Salaries,"$142,126.20","$147,450.44",,"$81,607.87",,"$81,983.00","$150,533.00","$68,550.00",83.61
1000.2200.1000.51010.050,,Teacher Salaries,"$116,253.54","$120,507.69",,"$110,644.93",,"$111,113.00","$126,036.00","$14,923.00",13.43
1000.2200.1000.51010.300,,Teacher Salaries,"$196,491.10","$188,250.41",,"$149,407.92",,"$146,731.00","$153,863.00","$7,132.00",4.86
1000.2200.1000.51020.010,,Ed Tech Salaries,"$71,661.69","$126,067.18",,"$141,182.89",,"$150,192.00","$100,053.00","($50,139.00)",(33.38)
1000.2200.1000.51020.020,,Ed Tech Salaries,"$90,148.66","$90,581.22",,,$0.00,$0.00,"$139,551.00","$139,551.00",0.00
1000.2200.1000.51020.030,,Ed Tech Salaries,"$21,644.17","$25,733.72",,"$24,195.47",,"$23,820.00",$0.00,"($23,820.00)",(100.00)
1000.2200.1000.51020.040,,Ed Tech Salaries,"$1,415.13","$25,165.73",,"$83,804.99",,$0.00,"$46,253.00","$46,253.00",0.00
1000.2200.1000.51020.050,,Ed Tech Salaries,"$25,023.34","$48,225.78",,"$92,390.53",,"$73,304.00","$132,625.00","$59,321.00",80.92
1000.2200.1000.51020.300,,Ed Tech Salaries,"$32,482.17","$31,094.72",,"$30,011.59",,"$48,365.00","$102,961.00","$54,596.00",112.88
1000.2200.1000.51210.030,,Tutor Wages,$0.00,"$2,381.85",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2200.1000.51230.020,,Sub Wages,$596.48,"$4,747.70",,,$0.00,$0.00,$0.00,$0.00,0.00
,03/22/2023,,,,,,,,,Page 12,
