,,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff,Support - -,Adopted,,,,,,,,
From Date:,7/1/2022,,To Date: 6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,FY23,Adopted,,
Account,,,Description,,,,,,,,,
1000.0000.2110.51010.300,,Teachers,Salaries,$0,,$0,,"$21,703",$0,$0,$0,0.00
1000.0000.2110.52010.300,,Teacher,Benefits,$0,,$0,,$53,$0,$0,$0,0.00
1000.0000.2110.52310.300,,,Retirement,$0,,$0,,$233,$0,$0,$0,0.00
1000.0000.2120.51010.010,,Guidance,Salaries,"$67,124",,"$58,968",,"$55,616","$101,995","$104,837","$2,842",2.79
1000.0000.2120.51010.020,,Guidance,Salaries,"$55,541",,"$58,968",,"$87,744","$86,087","$91,031","$4,944",5.74
1000.0000.2120.51010.030,,Guidance,Salaries,"$31,624",,"$34,123",,"$30,497","$39,128","$37,346","($1,782)",(4.55)
1000.0000.2120.51010.040,,Guidance,Salaries,"$53,896",,"$64,190",,"$85,821","$98,205","$96,598","($1,607)",(1.64)
1000.0000.2120.51010.050,,Guidance,Salaries,"$75,354",,"$74,875",,"$80,748","$81,352","$86,026","$4,674",5.75
1000.0000.2120.51010.300,,Counselor,Salaries,"$227,767","$235,416",,,"$257,571","$263,356","$296,319","$32,963",12.52
1000.0000.2120.51180.300,,Guidance,Support Wages,"$41,478",,"$25,240",,"$33,802","$75,823","$53,801","($22,022)",(29.04)
1000.0000.2120.52010.010,,Benefits,,"$4,495",,"$5,542",,"$3,386","$11,969","$16,523","$4,554",38.05
1000.0000.2120.52010.020,,Benefits,,"$20,489",,"$21,224",,"$4,814","$25,295","$25,924",$629,2.49
1000.0000.2120.52010.030,,Benefits,,$795,,"$3,292",,$37,$742,"$2,527","$1,785",240.55
1000.0000.2120.52010.040,,Benefits,,"$21,181",,"$21,178",,"$1,767","$5,913","$15,985","$10,072",170.32
1000.0000.2120.52010.050,,Benefits,,"$21,635",,"$21,594",,"$4,677","$21,616","$22,202",$586,2.71
1000.0000.2120.52010.300,,Counselor,Benefits,"$43,923",,"$60,221",,"$14,326","$63,970","$81,925","$17,955",28.07
1000.0000.2120.52080.300,,Support,Benefits,"$9,953",,"$2,168",,$271,"$4,857","$20,904","$16,047",330.37
1000.0000.2120.52310.010,,,Retirement,"$2,278",,"$2,589",,$610,"$4,243","$4,377",$134,3.16
1000.0000.2120.52310.020,,,Retirement,"$2,267",,"$2,501",,$608,"$3,581","$3,862",$281,7.84
1000.0000.2120.52310.030,,,Retirement,"$1,490",,"$20,712",,"$88,097","$1,628","$1,621",($7),(0.41)
1000.0000.2120.52310.040,,,Retirement,"$2,155",,"$2,670",,$686,"$4,085","$4,018",($67),(1.65)
1000.0000.2120.52310.050,,,Retirement,"$3,226",,"$3,266",,$783,"$3,384","$3,578",$194,5.73
1000.0000.2120.52310.300,,,Retirement,"$9,332",,"$9,987",,"$2,481","$10,956","$12,326","$1,370",12.51
1000.0000.2120.53000.010,,,Professional Services,$205,,$0,,$0,$0,$300,$300,0.00
,,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff,Support - -,Adopted,,,,,,,,
From Date:,7/1/2022,,To Date: 6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,Percentage
,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,FY23,Adopted,,
Account,,,Description,,,,,,,,,
1000.0000.2120.53000.020,,Purchased,Professional,$0,,$0,,$0,$0,$300,$300,0.00
1000.0000.2120.53000.030,,Purchased,Professional,$0,,$0,,$0,$0,$300,$300,0.00
1000.0000.2120.53000.040,,Purchased,Professional,$0,,$0,,$0,$0,$300,$300,0.00
1000.0000.2120.53000.050,,Purchased,Professional,$0,,$0,,$0,$0,$300,$300,0.00
1000.0000.2120.53000.300,,Purchased,Professional,"$3,756",,"$11,711",,"$13,465","$19,738","$13,482","($6,256)",(31.70)
1000.0000.2120.54330.010,,Software,,$0,,$0,,$0,$334,$334,$0,0.00
1000.0000.2120.54330.020,,Software,,$0,,$0,,$0,$333,$334,$1,0.30
1000.0000.2120.54330.030,,Software,,$0,,$0,,$0,$334,$334,$0,0.00
1000.0000.2120.54330.040,,Software,,$0,,$0,,$0,$334,$334,$0,0.00
1000.0000.2120.54330.050,,Software,,$0,,$0,,$0,$334,$334,$0,0.00
1000.0000.2120.54330.300,,Software,,$0,,$0,,$0,$334,$0,($334),(100.00)
1000.0000.2120.55800.300,,Travel,,$0,,$0,,$0,$400,$200,($200),(50.00)
1000.0000.2120.55810.010,,Travel,- Guidance,$961,,$0,,$0,$0,$0,$0,0.00
1000.0000.2120.55810.300,,Travel,,$0,,$0,,$0,$400,$400,$0,0.00
1000.0000.2120.56100.010,,Supplies,,$332,,$326,,$535,$250,$250,$0,0.00
1000.0000.2120.56100.020,,Supplies,,$290,,$216,,$107,$339,$339,$0,0.00
1000.0000.2120.56100.030,,Supplies,,$14,,$0,,$14,$339,$339,$0,0.00
1000.0000.2120.56100.040,,,Instructional Supplies,$177,,$169,,$256,$339,$339,$0,0.00
1000.0000.2120.56100.050,,,Instructional Supplies,$336,,$123,,$269,$709,$709,$0,0.00
1000.0000.2120.56100.300,,,Instructional Supplies,$622,,$471,,"$1,056","$1,000","$1,000",$0,0.00
1000.0000.2120.56400.020,,Books,,$339,,$173,,$275,$339,$339,$0,0.00
1000.0000.2120.56400.030,,Books,,$0,,$0,,$67,$150,$150,$0,0.00
1000.0000.2120.57300.010,,Equipment,,$0,,$0,,$267,$500,$500,$0,0.00
1000.0000.2120.57300.020,,Equipment,,$0,,$0,,$498,$500,$500,$0,0.00
