,,,,,,,RSU,No.,5,,,,,
Article,9,Operations,&,Maintenance-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2600.56050.040,,Furniture,& Equipment,- Non Instructional,MLS$0.00,,$0.00,,"$5,594.47",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.040,,Electricity,,,"$23,244.19","$22,943.22",,"$27,522.43",,"$26,366.00","$18,773.00","($7,593.00)",(28.80)
,1000.0000.2600.56240.040,,Heating,Fuel,,"$24,589.56","$27,889.41",,"$34,594.86",,"$39,500.00","$41,500.00","$2,000.00",5.06
Program:,OVERHEAD,- 0000,,,,"$310,539.49","$245,074.22",,"$365,608.47",,"$400,247.50","$462,091.00","$61,843.50",15.45
Function:,OPERATION,OF,PLANT -,2600,,"$310,539.49","$245,074.22",,"$365,608.47",,"$400,247.50","$462,091.00","$61,843.50",15.45
Cost,Center: MAST,LANDING,- 040,,,"$310,539.49","$245,074.22",,"$365,608.47",,"$400,247.50","$462,091.00","$61,843.50",15.45
,1000.0000.2600.51180.050,,Custodian,Salaries,,"$207,259.58","$191,265.79",,"$165,466.65",,"$184,047.00","$244,475.00","$60,428.00",32.83
,1000.0000.2600.52080.050,,Custodian,Benefits,,"$99,482.53","$54,202.41",,"$59,466.72",,"$83,095.00","$152,838.00","$69,743.00",83.93
,1000.0000.2600.52380.050,,Retirement,,,$0.00,,$0.00,,$0.00,$0.00,"$2,542.00","$2,542.00",0.00
,1000.0000.2600.54100.050,,,Water/Sewage,,"$11,963.12","$9,356.74",,"$11,648.56",,"$14,008.00","$13,000.00","($1,008.00)",(7.20)
,1000.0000.2600.54300.050,,Purchased,Repair,,"$52,483.87","$51,401.85",,"$43,684.24",,"$53,258.57","$54,279.00","$1,020.43",1.92
,1000.0000.2600.55200.050,,Insurance,,,"$11,125.10","$12,171.79",,"$14,179.90",,"$16,358.89","$22,746.00","$6,387.11",39.04
,1000.0000.2600.55320.050,,Telephone,,,"$4,206.42","$4,452.50",,,"$4,691.02","$5,000.00","$5,200.00",$200.00,4.00
,1000.0000.2600.56000.050,,Supplies,,,"$13,230.91","$26,527.42",,"$16,830.26",,"$21,800.00","$22,800.00","$1,000.00",4.59
,1000.0000.2600.56011.050,,Materials,for Repair,,"$5,530.91","$3,453.88",,,"$3,003.75","$6,000.00","$6,000.00",$0.00,0.00
,1000.0000.2600.56013.050,,Major,Maintenance,,"$19,635.78","$7,764.00",,"$16,375.43",,"$10,200.00","$14,200.00","$4,000.00",39.22
,1000.0000.2600.56050.050,,Furniture,& Equipment,- Non Instructional,FMS$0.00,,$0.00,,"$4,174.32","$7,200.00",$0.00,"($7,200.00)",(100.00)
,1000.0000.2600.56220.050,,Electricity,,,"$33,636.02","$30,451.98",,"$40,969.23",,"$33,300.00","$25,000.00","($8,300.00)",(24.92)
,1000.0000.2600.56240.050,,Heating,Fuel,,"$29,172.08","$40,868.29",,"$48,303.80",,"$50,802.00","$53,302.00","$2,500.00",4.92
Program:,OVERHEAD,- 0000,,,,"$487,726.32","$431,916.65",,"$428,793.88",,"$485,069.46","$616,382.00","$131,312.54",27.07
Function:,OPERATION,OF,PLANT -,2600,,"$487,726.32","$431,916.65",,"$428,793.88",,"$485,069.46","$616,382.00","$131,312.54",27.07
Cost,Center:,FREEPORT,MIDDLE,SCHOOL - 050,,"$487,726.32","$431,916.65",,"$428,793.88",,"$485,069.46","$616,382.00","$131,312.54",27.07
,Page 74,of 80,,,,,,,,,,,,
