,,RSU 5 FY22,Budget,Impact -,Summary,,
,,,Assessed,Board,Adopted,,
,,,2020-2021,,2021-2022,Difference,
Total,Operating Budget,,$,"34,882,700 $","35,602,864",$,"720,164"
Adult,Education Budget,,,"102,000","112,000",,"10,000"
Total,Operating,Budget w/Adult Ed,$,"34,984,700 $","35,714,864",$,"730,164 2.09%"
Less:,Shared Revenues*,,$,"961,250 $","909,853",$,"(51,397)"
Less:,Shared State,Aid (Educ. Service Cntr. Member,Alloc.),"56,738","54,905",,"(1,833)"
A -,Operating Budget,less Shared Revenue/Aid,$,"33,966,712 $","34,750,105",$,"783,393"
Less:,State Aid,Allocation by Town,,,,,
,Durham,,$,"4,966,394 $","4,785,401",$,"(180,993)"
,Freeport,(incl. Min Spec. Ed. Adj),,"1,156,956","1,073,800",,"(83,156)"
,Pownal,,,"370,060","285,749",,"(84,311)"
,B - Total,State Aid Allocation,$,"6,493,410 $","6,144,950",$,"(348,459)"
Less:,Non-Shared,Debt,,,,,
,Durham,Non-Shared Debt Assessment,$,"152,268 $","126,381",$,"(25,887)"
,Freeport,Non-Shared Debt Assessment,,"148,043",-,,"(148,043)"
,C - Total,Non-Shared Debt,$,"300,311 $","126,381",$,"(173,930)"
Less:,Required,Local Contribution,(RLC),,,,
,Durham,,$,"3,222,102 $","3,313,918",$,"91,816"
,Freeport,,,"13,240,966","13,691,358",,"450,392"
,Pownal,,,"2,016,370","2,033,328",,"16,958"
,D - Total,Required Local,Contribution $,"18,479,438 $","19,038,605",$,"559,167"
E -,Additional Local,Monies Required (A -,B - C - D) $,"8,693,553 $","9,440,169",$,"746,616"
Net Impact,to Taxation,Districtwide (D + E),$,"27,172,991 $","28,478,774",$,"1,305,783 4.81%"
Additional,Local,Monies (ALM) Required,Distribution per RSU,Cost Sharing,Plan,,
,Durham,(21.42% x E),$,"1,862,159 $","2,022,084",$,"159,925"
,Freeport,(65.98% x E),,"5,736,006","6,228,624",,"492,617"
,Pownal,(12.60% x E),,"1,095,388","1,189,461",,"94,074"
,,,$,"8,693,553 $","9,440,169",$,"746,616"
,,*Shared,Revenue 2020-2021,,2021-2022,,
,Town of Freeport,Hunter Road Field,Maintenance $,"106,000 $","98,835",,
Town,of Freeport,Contribution for Shared,Employee,"29,750","25,518",,
,,State Agency,/ Medicaid,"50,000","50,000",,
,,Misc,/ Interest,"25,000","30,000",,
,,Laugh,& Learn,"5,500","5,500",,
,,Undesignated,Fund Balance,"745,000","700,000",,
,,Total Shared,Revenue $,"961,250 $","909,853",,
,,,,,,,7 of 11
