,,,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff,Support-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.0000.2120.51010.050,,,Guidance Salaries,,,"$80,748.00",,"$79,211.62","$98,348.62",,"$89,503.00",,"$89,503.00",,$0.00,0.00
,1000.0000.2120.52010.050,,Benefits,,,,"$4,677.47",,"$22,382.72","$18,672.66",,"$23,666.00",,"$32,347.00","$8,681.00",,36.68
,1000.0000.2120.52310.050,,,Retirement,,,$783.03,,$591.91,"$3,770.76",,"$4,001.00",,"$4,281.00",,$280.00,7.00
,1000.0000.2120.53000.050,,,Purchased,Professional,,$0.00,,$0.00,$226.50,,$300.00,,$300.00,,$0.00,0.00
,1000.0000.2120.54330.050,,Software,,,,$0.00,,$333.34,$333.35,,$334.00,,$334.00,,$0.00,0.00
,1000.0000.2120.56100.050,,,Instructional,Supplies,,$269.42,,$701.80,$793.20,,$709.00,,$350.00,($359.00),,(50.63)
,1000.0000.2120.57300.050,,,Equipment,,,$0.00,,$320.02,$426.27,,$750.00,,$0.00,($750.00),,(100.00)
Program:,OVERHEAD,- 0000,,,,"$86,477.92","$103,541.41",,"$122,571.36",,"$119,263.00",,"$127,115.00",,"$7,852.00",,6.58
Function:,,COUNSELING -,2120,,,"$86,477.92","$103,541.41",,"$122,571.36",,"$119,263.00",,"$127,115.00",,"$7,852.00",,6.58
,1000.0000.2130.51010.050,,Nurse,Salary,,,"$59,981.69",,"$70,014.42","$72,464.93",,"$75,001.00",,"$75,001.00",,$0.00,0.00
,1000.0000.2130.51200.050,,Nurse,Substitute,- FMS,,$0.00,,"$1,190.00","$2,244.85",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52000.050,,,Employee Benefits,,,$0.00,,$0.00,,$80.55,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52010.050,,Nurse,Benefits,,,"$2,769.54",,"$4,948.02","$5,306.19",,"$5,173.00",,"$11,462.00","$6,289.00",,121.57
,1000.0000.2130.52030.050,,Nurse,Sub Benefits,- FMS,,$0.00,,"$8,591.83",,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52300.050,,,Retirement -,Stipends,,$0.00,,$0.00,,$48.58,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52310.050,,,Retirement,,,$389.40,,"$2,868.55","$2,782.78",,"$3,353.00",,"$3,587.00",,$234.00,6.98
,1000.0000.2130.53000.050,,,Purchased,Professional,,$270.01,,$84.76,$276.76,,$300.00,,$300.00,,$0.00,0.00
,1000.0000.2130.54310.050,,Repairs,&,Maintenance,,$0.00,,$0.00,,$0.00,$135.00,,$135.00,,$0.00,0.00
,1000.0000.2130.56000.050,,Supplies,,,,$839.17,,$791.24,$737.44,,$846.00,,$846.00,,$0.00,0.00
,1000.0000.2130.58100.050,,Dues,& Fees,,,$0.00,,$0.00,,$0.00,,$0.00,$130.00,,$130.00,0.00
Program:,OVERHEAD,- 0000,,,,"$64,249.81",,"$88,488.82","$83,942.08",,"$84,808.00",,"$91,461.00",,"$6,653.00",,7.84
Function:,HEALTH,SERVICES,- 2130,,,"$64,249.81",,"$88,488.82","$83,942.08",,"$84,808.00",,"$91,461.00",,"$6,653.00",,7.84
,03/27/2024,,,,,,,,,,,,,,,51 of 81,
