,,,,,,,RSU,No.,5,,,,,
,Article 9,Operations,&,Maintenance,- Proposed,,,,,,,,,
From,Date:,3/22/2023,,To Date:,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,,
,1000.0000.2680.58310.300,,Principal-High,School,Renovation,"$905,000.00","$905,000.00",,"$905,000.00",,"$900,000.00","$680,000.00","($220,000.00)",(24.44)
,1000.0000.2680.58310.900,,,Prinicpal-Central,Office Purchase,"$12,500.00","$11,250.00",,"$11,250.00",,$0.00,$0.00,$0.00,0.00
,1000.0000.2680.58320.300,,Interest-High,School,Renovation,"$461,975.01","$416,745.00",,"$367,175.00",,"$327,425.00","$289,000.00","($38,425.00)",(11.74)
,1000.0000.2680.58320.900,,,Interest-Central Office,Purchase,"$1,437.50",,$843.75,,$281.25,$0.00,$0.00,$0.00,0.00
,Function: CAPITAL,ENHANCEMENT,&,IMPROVEMENT,-,"$1,380,912.51","$1,333,838.75",,"$1,283,706.25",,"$1,227,425.00","$969,000.00","($258,425.00)",(21.05)
2680,,,,,,,,,,,,,,
,1000.0000.2690.54300.900,,Capital,Renewal/Track,Replacement,"$70,000.00","$35,000.00",,"$70,000.00",,"$35,000.00","$35,000.00",$0.00,0.00
,1000.0000.2690.54500.900,,Capital,Renewal/Tennis,Courts,Replacement$0.00,,$0.00,"$60,000.00",,"$40,000.00","$40,000.00",$0.00,0.00
,1000.0000.2690.58310.900,,Capital,Improvements,,"$350,314.73","$399,802.00",,"$442,330.00",,"$400,000.00","$400,000.00",$0.00,0.00
,Function: CAPITAL,RENEWAL,&,RENOVATION -,2690,"$420,314.73","$434,802.00",,"$572,330.00",,"$475,000.00","$475,000.00",$0.00,0.00
Grand,Total:,,,,,"$4,837,273.80","$4,592,031.35",,"$4,846,859.53",,"$5,100,233.00","$5,219,819.00","$119,586.00",2.34
,,,,,,,End,of Report,,,,,,
,,03/22/2023,,,,,,,,,,,Page 53,
