,,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff,Support - Proposed,,,,,,,,,
From Date:,3/22/2023,,To Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
1000.0000.2130.52300.010,,Retirement,- Stipends,$0.00,,$0.00,,$53.78,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52300.020,,Retirement,- Stipends,$0.00,,$0.00,,$16.12,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52300.030,,Retirement,- Stipends,$0.00,,$0.00,,$10.75,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52300.040,,Retirement,- Stipends,$0.00,,$0.00,,"$1,174.03",$0.00,$0.00,$0.00,0.00
1000.0000.2130.52300.050,,Retirement,- Stipends,$0.00,,$0.00,,$45.70,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52300.300,,Retirement,- Stipends,$0.00,,$0.00,,$67.22,$0.00,$0.00,$0.00,0.00
1000.0000.2130.52310.010,,Retirement,,"$2,745.34",,$649.02,,"$4,728.33","$3,014.00","$3,353.00",$339.00,11.25
1000.0000.2130.52310.020,,Retirement,,"$2,748.54",,$652.06,,"$2,818.53","$3,091.00","$3,353.00",$262.00,8.48
1000.0000.2130.52310.030,,Retirement,,$0.00,,$129.80,,"$3,209.56","$2,411.00","$2,723.00",$312.00,12.94
1000.0000.2130.52310.040,,Retirement,,"$2,808.00",,$460.80,,"$1,905.38",$0.00,"$2,619.00","$2,619.00",0.00
1000.0000.2130.52310.050,,Retirement,,"$1,651.00",,$389.40,,"$2,822.85","$2,998.00","$3,353.00",$355.00,11.84
1000.0000.2130.52310.300,,Retirement,,"$2,566.98",,$602.30,,"$2,561.26","$2,907.00","$3,273.00",$366.00,12.59
1000.0000.2130.53000.010,,,Professional Services,$0.00,,$129.00,,$31.00,$300.00,$300.00,$0.00,0.00
1000.0000.2130.53000.020,,Purchased,Professional,$125.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
