,,,,,,RSU No.,5,,,,,,,,
,Article 5,Student and,Staff Support-,Adopted,,,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,,
,1000.0000.2220.51020.010,,Ed Tech Salaries,,"$5,649.06",,"$15,945.51","$12,125.11",,"$18,034.00",,"$19,165.00","$1,131.00",,6.27
,1000.0000.2220.52010.010,,Librarian Benefits,,"$4,871.91",,"$21,325.03","$18,223.26",,"$23,470.00",,"$27,719.00","$4,249.00",,18.10
,1000.0000.2220.52020.010,,Ed Tech Salaries,,"$2,023.45",,"$6,006.33","$4,197.18",,"$10,963.00",,"$6,644.00","($4,319.00)",,(39.40)
,1000.0000.2220.52310.010,,Retirement,,$652.80,,$503.63,"$2,902.87",,"$3,609.00",,"$4,622.00","$1,013.00",,28.07
,1000.0000.2220.52320.010,,Ed Tech Retirement,,$0.00,,$612.42,$464.03,,$864.00,,$857.00,,($7.00),(0.81)
,1000.0000.2220.54330.010,,Software,,"$1,042.50",,"$1,060.35","$1,043.00",,"$1,129.00",,"$1,403.00",,$274.00,24.27
,1000.0000.2220.56000.010,,Supplies,,"$1,120.73",,"$1,282.81","$1,297.17",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.56100.010,,Supplies,,$143.33,,$0.00,,$0.00,"$1,300.00",,"$1,300.00",,$0.00,0.00
,1000.0000.2220.56400.010,,Books,,"$8,652.47",,"$8,999.44","$10,974.46",,"$10,080.00",,"$10,185.00",,$105.00,1.04
,Program:,OVERHEAD - 0000,,"$96,637.40","$127,473.17",,"$126,820.73",,"$150,184.00",,"$167,336.00",,"$17,152.00",,11.42
,Function: LIBRARY,SERVICES,- 2220,"$96,637.40","$127,473.17",,"$126,820.73",,"$150,184.00",,"$167,336.00",,"$17,152.00",,11.42
,1000.0000.2230.51010.010,,Teacher Salaries,,$12.11,,"$12,468.70",,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.51500.010,,Stipends,,"$3,180.78",,"$1,422.00",,$0.00,"$3,815.00",,"$4,266.00",,$451.00,11.82
,1000.0000.2230.52000.010,,Benefits,,$1.63,,$23.40,,$0.00,,$0.00,$72.00,,$72.00,0.00
,1000.0000.2230.52010.010,,Teacher Benefits,,"$1,394.25",,$180.80,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52300.010,,Stipend Retirement,,$0.00,,$54.60,,$0.00,,$0.00,$191.00,,$191.00,0.00
,1000.0000.2230.52310.010,,Retirement,,$387.39,,$478.80,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.54330.010,,Software,,$0.00,,$196.54,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.55000.010,,Other Purchased Services,,$140.00,,"$1,069.00",,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.56500.010,,Supplies,,"$6,485.90",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,Program:,OVERHEAD - 0000,,"$11,602.06",,"$15,893.84",,$0.00,"$3,815.00",,,"$4,529.00",$714.00,,18.72
,Function:,INSTRUCTION,RELATED TECHNOLOGY -,"$11,602.06",,"$15,893.84",,$0.00,"$3,815.00",,,"$4,529.00",$714.00,,18.72
2230,,,,,,,,,,,,,,,
Cost,Center:,DURHAM,COMMUNITY - 010,"$242,603.61","$411,111.79",,"$397,425.20",,"$513,747.00",,"$508,351.00",,"($5,396.00)",,(1.05)
,03/27/2024,,,,,,,,,,,,,42 of 81,
