,,,,,,,RSU,No.,5,,,,,
Article 9,Operations,&,Maintenance,-,Proposed,,,,,,,,,
From Date:,7/1/2021,,To Date:,6/30/2022,,Definition:,,FY23,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY19,Actual,FY20 Actual,,FY21 Actual,FY22,Adopted FY23,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
1000.0000.2600.56000.030,,Supplies,,,,"$7,945",,"$9,495",,"$13,932","$11,450","$12,500","$1,050",9.17
1000.0000.2600.56000.040,,Supplies,,,,"$18,505",,"$12,813",,"$8,507","$18,000","$19,500","$1,500",8.33
1000.0000.2600.56000.050,,Supplies,,,,"$18,085",,"$13,231",,"$26,527","$20,300","$21,800","$1,500",7.39
1000.0000.2600.56000.300,,Supplies,,,,"$42,821",,"$33,860",,"$24,265","$36,000","$40,500","$4,500",12.50
1000.0000.2600.56000.900,,Supplies,,,,$67,,"$1,849",,$0,$0,$0,$0,0.00
1000.0000.2600.56000.941,,Supplies,,,,$548,,$0,,$157,"$1,500","$1,500",$0,0.00
1000.0000.2600.56011.010,,Materials,for Repair,,,"$9,972",,"$9,164",,"$5,729","$6,500","$9,000","$2,500",38.46
1000.0000.2600.56011.020,,Materials,for Repair,,,"$3,782",,"$2,674",,"$4,017","$4,050","$4,050",$0,0.00
1000.0000.2600.56011.030,,Materials,for Repair,,,"$2,296",,"$2,623",,"$2,448","$4,250","$4,250",$0,0.00
1000.0000.2600.56011.040,,Material,Repair,,,"$2,368",,"$3,182",,"$1,859","$4,500","$4,500",$0,0.00
1000.0000.2600.56011.050,,Materials,for Repair,,,"$5,293",,"$5,531",,"$3,454","$6,000","$6,000",$0,0.00
1000.0000.2600.56011.300,,Materials,for Repair,,,"$6,360",,"$5,919",,"$6,271","$7,000","$7,000",$0,0.00
1000.0000.2600.56011.900,,Materials,for Repair,,,$0,,$400,,$25,$0,$0,$0,0.00
1000.0000.2600.56011.941,,Materials,for Repair,,,$73,,"$7,254",,$642,"$3,000","$3,000",$0,0.00
1000.0000.2600.56013.010,,Major,Maintenance,,,"$6,308",,"$1,625",,"$5,094","$6,400","$6,400",$0,0.00
1000.0000.2600.56013.020,,Major,Maintenance,,,"$14,643",,"$15,705",,"$3,641","$6,000","$6,000",$0,0.00
1000.0000.2600.56013.030,,Major,Maintenance,,,"$59,411",,"$6,653",,"$2,582","$5,000","$9,500","$4,500",90.00
1000.0000.2600.56013.040,,Major,Maintenance,,,"$4,077",,"$21,631",,"$3,500","$5,000","$5,000",$0,0.00
1000.0000.2600.56013.050,,Major,Maintenance,,,$477,,"$19,636",,"$7,764","$10,200","$10,200",$0,0.00
1000.0000.2600.56013.300,,Major,Maintenance,,,"$45,040",,"$1,803",,"$2,055","$11,600","$11,600",$0,0.00
1000.0000.2600.56013.941,,Major,Maintenance,,,$0,,$0,,"$8,561","$5,000","$5,000",$0,0.00
1000.0000.2600.56050.030,,Furniture,&,Equipment - Non,Instructional PES,$0,,$0,,$0,$0,"$4,865","$4,865",0.00
1000.0000.2600.56050.050,,Furniture,&,Equipment - Non,Instructional FMS,$0,,$0,,$0,$0,"$7,200","$7,200",0.00
1000.0000.2600.56220.010,,Electricity,- Durham,,"$166,539",,"$113,656",,,"$90,687","$162,583","$131,400","($31,183)",(19.18)
,,,,,,,,,,,,,3/21/22 Page 45,
