,,,,,,,RSU,No.,5,,,,,
FY25,Article,9 Operations,&,Maintenance-,Proposed,,,,,,,,,
From,Date:,3/1/2024,To Date:,,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,FY21,Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
,1000.0000.2680.58310.300,,Principal-High,School Renovation,,"$905,000.00","$905,000.00",,"$900,000.00",,"$680,000.00","$680,000.00",$0.00,0.00
,1000.0000.2680.58320.300,,Interest-High,School Renovation,,"$416,745.00","$371,475.00",,"$327,425.00",,"$289,000.00","$255,000.00","($34,000.00)",(11.76)
Program:,OVERHEAD,- 0000,,,,"$1,321,745.00","$1,276,475.00",,"$1,227,425.00",,"$969,000.00","$935,000.00","($34,000.00)",(3.51)
Function:,CAPITAL,ENHANCEMENT,&,IMPROVEMENT -,,"$1,321,745.00","$1,276,475.00",,"$1,227,425.00",,"$969,000.00","$935,000.00","($34,000.00)",(3.51)
2680,,,,,,,,,,,,,,
Cost,Center:,FREEPORT HIGH,SCHOOL - 300,,,"$1,930,969.93","$1,876,293.88",,"$1,826,682.57",,"$1,583,379.00","$1,584,160.00",$781.00,0.05
,1000.0000.2600.54300.900,,Purchaed Repairs,,,$441.90,"$21,661.44",,,"$5,273.03",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.55800.900,,Travel,,,$0.00,,$0.00,,$137.35,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56000.900,,Supplies,,,$0.00,"$11,219.74",,,"$4,993.18",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56011.900,,Materials for,Repair,,$24.55,"$2,081.87",,,$337.63,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56013.900,,Major Maintenance,,,$0.00,"$2,447.00",,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,$466.45,"$37,410.05",,"$10,741.19",,$0.00,$0.00,$0.00,0.00
Function:,OPERATION,OF PLANT,- 2600,,,$466.45,"$37,410.05",,"$10,741.19",,$0.00,$0.00,$0.00,0.00
,1000.0000.2620.51040.900,,Administrator,Salary,,$0.00,,$0.00,,"$2,284.30","$60,000.00","$93,600.00","$33,600.00",56.00
,1000.0000.2620.51060.900,,Facilities Office,Clerical Support,Salary,$0.00,,$0.00,,$0.00,"$20,842.00",$0.00,"($20,842.00)",(100.00)
,1000.0000.2620.51180.900,,Salaries,,,"$347,667.45","$285,170.53",,"$286,471.93",,"$239,262.00","$256,010.00","$16,748.00",7.00
,1000.0000.2620.52000.900,,Maintenance,Benefits,,$0.00,,$0.00,,$0.00,"$89,805.00",$0.00,"($89,805.00)",(100.00)
,1000.0000.2620.52040.900,,Administrator,Benefits,,$0.00,,$0.00,,$482.56,"$20,245.00","$24,268.00","$4,023.00",19.87
,1000.0000.2620.52060.900,,Facilities Office,Clerical Support,Benefits,$0.00,,$0.00,,$0.00,"$8,900.00",$0.00,"($8,900.00)",(100.00)
,1000.0000.2620.52080.900,,Benefits,,,"$109,229.52","$102,846.32",,"$84,981.29",,"$138,259.00","$112,907.00","($25,352.00)",(18.34)
,03/13/2024,,,,,,,,,,,,76,
