,,,,RSU,No. 5,,,,,,,
FY27,Article,6 System,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,FY27,,Dollar,Percent
,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2320.52080.900,,Support Benefits,"$24,389.33","$25,853.28",,"$27,544.58","$39,910.00","$42,551.00",,"$2,641.00",6.62
,1000.0000.2320.52340.900,,Retirement,"$18,070.90","$21,232.12",,"$22,065.55","$10,909.00","$14,451.00",,"$3,542.00",32.47
,1000.0000.2320.52380.900,,Retirement,"$7,577.18",,"$7,842.38","$8,234.47",$0.00,"$9,252.00",,"$9,252.00",0.00
,1000.0000.2320.53300.900,,Employee Training &,$0.00,,"$3,179.00","$3,383.00","$3,050.00","$3,560.00",,$510.00,16.72
,,,Development,,,,,,,,,
,1000.0000.2320.53400.900,,Professional Services,"$87,527.16","$89,358.97",,"$56,020.80","$72,995.00","$74,545.00",,"$1,550.00",2.12
,1000.0000.2320.54330.900,,Software Repairs &,"$67,555.40",,"$2,571.02","$9,310.73","$10,000.00","$10,000.00",,$0.00,0.00
,,,Maintenance,,,,,,,,,
,1000.0000.2320.55310.900,,Postage,"$9,088.81",,"$5,513.78","$7,206.28","$7,200.00","$7,700.00",,$500.00,6.94
,1000.0000.2320.55400.900,,Advertising,"$1,854.00",,"$1,309.42",$857.04,"$1,500.00","$1,500.00",,$0.00,0.00
,1000.0000.2320.55800.900,,Travel,"$2,105.17",,"$3,299.51","$2,412.15","$2,600.00","$2,900.00",,$300.00,11.54
,1000.0000.2320.56000.900,,Supplies,"$12,436.27","$13,548.75",,"$11,425.25","$15,400.00","$15,400.00",,$0.00,0.00
,1000.0000.2320.56400.900,,Books,$0.00,,$0.00,$0.00,$100.00,$0.00,,($100.00),(100.00)
,1000.0000.2320.57340.900,,Technology Equipment,$0.00,,"$1,000.00",$776.59,$0.00,$0.00,,$0.00,0.00
,1000.0000.2320.58100.900,,Dues and Fees,"$11,563.43",,"$7,237.50","$6,736.00","$7,648.00","$7,748.00",,$100.00,1.31
,1000.0000.2320.59000.900,,Aspirations / Miscellaneous,"$6,107.74",,"$2,000.00",$606.73,"$8,600.00","$8,600.00",,$0.00,0.00
,Program:,OVERHEAD - 0000,,"$567,815.69","$514,644.28",,"$515,991.10","$572,264.00","$604,023.00","$31,759.00",,5.55
,Function:,EXECUTIVE ADMINISTRATION,- 2320,"$567,815.69","$514,644.28",,"$515,991.10","$572,264.00","$604,023.00","$31,759.00",,5.55
,1000.0000.2500.51040.900,,Administrator Salary,"$114,630.00","$124,691.00",,"$143,925.00","$151,925.00","$160,282.00",,"$8,357.00",5.50
,1000.0000.2500.51180.900,,Salaries,"$174,868.53","$189,421.15",,"$215,417.67","$217,944.00","$200,547.00","($17,397.00)",,(7.98)
,1000.0000.2500.52040.900,,Admin Benefits,"$19,360.36","$30,926.77",,"$32,933.17","$46,070.00","$54,169.00",,"$8,099.00",17.58
,,,,Page,67 of 89,,,,,,,
