,,,,,RSU,No.,5,,,,,,
Article,4 Other,Instruction- Adopted,,,,,,,,,,,
,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
1000.4300.1000.52310.300,,Summer School,Teacher,$0.00,$0.00,,$0.00,$129.33,$129.33,($129.33),$0.00,($129.33),0.00%
,,Retirement - FHS,,,,,,,,,,,
,,Program: SUMMER,SCHOOL - 4300,$0.00,$0.00,,$0.00,"$5,312.15","$5,312.15","($5,312.15)",$0.00,"($5,312.15)",0.00%
1000.9500.1000.51500.300,,Stipends,,"$101,205.00",$0.00,"$101,205.00",,$519.23,$519.23,"$100,685.77","$12,980.77","$87,705.00",86.66%
1000.9500.1000.52000.300,,Stipend Benefits,,"$1,710.00",$0.00,"$1,710.00",,$161.49,$161.49,"$1,548.51",$0.00,"$1,548.51",90.56%
1000.9500.1000.52300.300,,Retirement,,"$4,524.00",$0.00,"$4,524.00",,$23.21,$23.21,"$4,500.79",$0.00,"$4,500.79",99.49%
1000.9500.1000.53400.300,,Co-Curricular Purch,Professional,"$4,377.00",$0.00,"$4,377.00",,$0.00,$0.00,"$4,377.00",$0.00,"$4,377.00",100.00%
1000.9500.1000.55800.300,,Co-Curricular Travel,,$200.00,$0.00,,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
1000.9500.1000.56100.300,,Instructional Supplies,,"$2,770.00",$0.00,"$2,770.00",,$0.00,$0.00,"$2,770.00",$0.00,"$2,770.00",100.00%
1000.9500.1000.58100.300,,Dues and Fees,,"$10,740.00",$0.00,"$10,740.00",,$0.00,$0.00,"$10,740.00",$0.00,"$10,740.00",100.00%
,Program:,CO-CURRICULAR,9-12 - 9500,"$125,526.00",$0.00,"$125,526.00",,$703.93,$703.93,"$124,822.07","$12,980.77","$111,841.30",89.10%
1000.9600.1000.51500.300,,Stipends-Coaches,,"$175,355.00",$0.00,"$175,355.00",,$0.00,$0.00,"$175,355.00",$750.00,"$174,605.00",99.57%
1000.9600.1000.52000.300,,Stipend Benefits,,"$2,964.00",$0.00,"$2,964.00",,$0.00,$0.00,"$2,964.00",$0.00,"$2,964.00",100.00%
1000.9600.1000.52300.300,,Retirement,,"$7,838.00",$0.00,"$7,838.00",,$0.00,$0.00,"$7,838.00",$0.00,"$7,838.00",100.00%
1000.9600.1000.53000.300,,Game Officials,,"$55,453.00",$0.00,"$55,453.00",,$0.00,$0.00,"$55,453.00",$0.00,"$55,453.00",100.00%
1000.9600.1000.55000.300,,Purchased Services,,"$13,690.00",$0.00,"$13,690.00",,$0.00,$0.00,"$13,690.00",$0.00,"$13,690.00",100.00%
1000.9600.1000.55800.300,,Travel,,"$1,270.00",$0.00,"$1,270.00",,$0.00,$0.00,"$1,270.00",$0.00,"$1,270.00",100.00%
1000.9600.1000.56000.300,,Supplies,,"$44,438.00",$0.00,"$44,438.00",,$0.00,$0.00,"$44,438.00",$0.00,"$44,438.00",100.00%
1000.9600.1000.58100.300,,Dues and Fees,,"$49,940.00",$0.00,"$49,940.00",,$0.00,$0.00,"$49,940.00",$0.00,"$49,940.00",100.00%
,Program:,EXTRA-CURRICULAR,9-12 - 9600,"$350,948.00",$0.00,"$350,948.00",,$0.00,$0.00,"$350,948.00",$750.00,"$350,198.00",99.79%
,Function:,REGULAR INSTRUCTION,- 1000,"$476,474.00",$0.00,"$476,474.00",,"$6,016.08","$6,016.08","$470,457.92","$13,730.77","$456,727.15",95.86%
1000.9600.2330.51010.300,,Athletic Director Salary,- FHS,"$80,080.00",$0.00,"$80,080.00",,"$3,125.78","$3,125.78","$76,954.22","$78,144.39","($1,190.17)",-1.49%
1000.9600.2330.51060.300,,Athletic Trainer Salary,,"$65,520.00",$0.00,"$65,520.00",,$0.00,$0.00,"$65,520.00","$63,000.00","$2,520.00",3.85%
1000.9600.2330.51180.300,,Athletic Office Support,Staff Wages,"$16,012.00",$0.00,"$16,012.00",,$441.19,$441.19,"$15,570.81","$17,362.66","($1,791.85)",-11.19%
,,- FHS,,,,,,,,,,,
1000.9600.2330.52010.300,,Athletic Director,Benefits - FHS,"$19,202.00",$0.00,"$19,202.00",,$492.83,$492.83,"$18,709.17",$0.00,"$18,709.17",97.43%
1000.9600.2330.52060.300,,Athletic Trainer Benefits,,"$19,074.00",$0.00,"$19,074.00",,$0.00,$0.00,"$19,074.00",$0.00,"$19,074.00",100.00%
1000.9600.2330.52080.300,,Athletic Office Support,Staff,"$3,735.00",$0.00,"$3,735.00",,$36.27,$36.27,"$3,698.73",$0.00,"$3,698.73",99.03%
,,Benefits - FHS,,,,,,,,,,,
1000.9600.2330.52310.300,,Athletic Director,Retirement - FHS,"$3,580.00",$0.00,"$3,580.00",,$139.00,$139.00,"$3,441.00",$0.00,"$3,441.00",96.12%
,Program:,EXTRA-CURRICULAR,9-12 - 9600,"$207,203.00",$0.00,"$207,203.00",,"$4,235.07","$4,235.07","$202,967.93","$158,507.05","$44,460.88",21.46%
,Function: SPECIAL,AREA ADMINISTRATION,- 2330,"$207,203.00",$0.00,"$207,203.00",,"$4,235.07","$4,235.07","$202,967.93","$158,507.05","$44,460.88",21.46%
,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$683,677.00",$0.00,"$683,677.00",,"$10,251.15","$10,251.15","$673,425.85","$172,237.82","$501,188.03",73.31%
1000.9100.1000.51500.950,,Stipends Paid,,"$1,422.00",$0.00,"$1,422.00",,$0.00,$0.00,"$1,422.00","$1,272.00",$150.00,10.55%
1000.9100.1000.52000.950,,Employee Benefits,,$24.00,$0.00,,$24.00,$0.00,$0.00,$24.00,$0.00,$24.00,100.00%
,,,,,Page,21 of,44,,,,,,
