,,,,,,,RSU,No. 5,,,,,,,
FY27,Article,1 Regular,Instruction-,,Proposed,,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition:,FY27,Proposed,,,,,,,
,,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,,
,1000.1100.1000.56400.020,,,BOOKS,,"$6,404.43",,,"$9,422.64","$9,168.97","$8,200.00","$7,800.00",,($400.00),(4.88)
,1000.1100.1000.57300.020,,,,Equipment,"$1,472.17",,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,Program:,ELEMENTARY,PROGRAMS -,1100,,"$1,640,039.98",,"$1,679,492.00",,"$1,934,021.06","$1,860,528.00","$2,069,667.00","$209,139.00",,11.24
,1000.1120.1000.51010.020,,,Salaries,,"$316,022.08",,"$255,377.01",,"$270,495.81","$314,027.00","$255,102.00","($58,925.00)",,(18.76)
,1000.1120.1000.51020.020,,,Ed,Tech Salaries,"$75,933.41",,,"$53,560.59","$66,227.51","$63,334.00","$65,183.00",,"$1,849.00",2.92
,1000.1120.1000.52010.020,,,Benefits,,"$35,772.25",,,"$44,459.87","$45,075.20","$81,864.00","$84,690.00",,"$2,826.00",3.45
,1000.1120.1000.52020.020,,,Ed,Tech Benefit,"$12,432.65",,,"$8,880.13","$9,729.55","$11,383.00","$17,086.00",,"$5,703.00",50.10
,1000.1120.1000.52310.020,,,,Retirement,"$11,407.09",,,"$11,137.66","$11,844.03","$14,037.00","$11,403.00","($2,634.00)",,(18.76)
,1000.1120.1000.52320.020,,,,Retirement,"$1,880.28",,,"$2,250.80","$2,647.52","$2,831.00","$3,147.00",,$316.00,11.16
,Program: K-2,INSTRUCTION,- 1120,,,"$453,447.76",,"$375,666.06",,"$406,019.62","$487,476.00","$436,611.00","($50,865.00)",,(10.43)
,Function: REGULAR,INSTRUCTION,- 1000,,,"$2,093,487.74",,"$2,055,158.06",,"$2,340,040.68","$2,348,004.00","$2,506,278.00","$158,274.00",,6.74
Cost,Center:,MORSE STREET,- 020,,,"$2,093,487.74",,"$2,055,158.06",,"$2,340,040.68","$2,348,004.00","$2,506,278.00","$158,274.00",,6.74
,1000.1100.1000.51010.030,,,Teacher,Salaries,"$558,586.19",,"$592,246.15",,"$562,328.71","$726,219.00","$662,647.00","($63,572.00)",,(8.75)
,1000.1100.1000.51020.030,,,Ed,Tech Salaries,"$33,042.15",,,"$44,491.02","$52,178.65","$47,154.00","$47,263.00",,$109.00,0.23
,1000.1100.1000.51230.030,,,Sub,Salaries,"$14,623.46",,,"$16,140.00","$20,638.14","$17,270.00","$20,632.00",,"$3,362.00",19.47
,1000.1100.1000.52010.030,,,Teacher,Benefits,"$99,417.83",,"$110,078.17",,"$95,904.23","$129,905.00","$139,319.00",,"$9,414.00",7.25
,1000.1100.1000.52020.030,,,Ed,Tech Benefits,"$1,442.91",,,"$1,715.19","$2,104.53","$8,344.00","$12,348.00",,"$4,004.00",47.99
,,,,,,,Page,6 of 89,,,,,,,
