,,,,,,,Final FY22 Version,,,,,,,
661,1000-0000-2130-56000-020,Supplies,,,705.00,700.42,799.00,765.03,841.00,534.86,872.46,31.46,3.74%,
,,,,Totals,"73,439.00","69,455.86","76,037.00","73,467.44","77,501.00","76,497.47","76,743.73",-757.27,-0.98%,
662,Cost Center:,030 - POWNAL,ELEMENTARY,,,,,,,,,,,
663,1000-0000-2130-51010-030,Nurse Salary,,,"49,051.00","34,140.36","52,171.00","51,907.94","54,082.00","71,540.67","56,011.54","1,929.54",3.57%,
664,1000-0000-2130-52010-030,Nurse Benefits,,,"19,804.00","9,995.52","17,188.00","16,953.50","8,274.00","4,133.90","21,150.92","12,876.92",155.63%,
665,1000-0000-2130-52310-030,Retirement,,,"1,947.00","1,355.33","2,170.00",0.00,"2,250.00",129.80,0.00,"-2,250.00",-100.00%,
666,1000-0000-2130-53000-030,Purchased,Professional,,200.00,45.00,200.00,0.00,200.00,0.00,200.00,0.00,0.00%,
667,1000-0000-2130-54310-030,Repairs &,Maintenance,,135.00,0.00,135.00,0.00,135.00,0.00,135.00,0.00,0.00%,
668,1000-0000-2130-56000-030,Supplies,,,299.00,297.92,299.00,720.17,291.00,179.14,269.86,-21.14,-7.26%,
,,,,Totals,"71,436.00","45,834.13","72,163.00","69,581.61","65,232.00","75,983.51","77,767.32","12,535.32",19.22%,
669,Cost Center:,040 - MAST,LANDING,,,,,,,,,,,
670,1000-0000-2130-51010-040,Nurse Salary,,,"62,713.00","65,536.00","67,502.00","67,501.98","67,586.00","54,095.70","54,871.48","-12,714.52",-18.81%,
671,1000-0000-2130-52010-040,Nurse Benefits,,,"9,248.00","5,337.17","5,431.00","5,923.84","5,532.00",112.68,"1,030.89","-4,501.11",-81.36%,
672,1000-0000-2130-52310-040,Retirement,,,"2,490.00","2,620.97","2,808.00","2,808.00","2,812.00",460.80,"2,282.65",-529.35,-18.82%,
673,1000-0000-2130-53000-040,Purchased,Professional,,200.00,0.00,200.00,0.00,200.00,0.00,200.00,0.00,0.00%,
674,1000-0000-2130-54310-040,Repairs &,Maintenance,,135.00,130.00,135.00,0.00,135.00,0.00,135.00,0.00,0.00%,
675,1000-0000-2130-55800-040,Travel,,,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00%,
676,1000-0000-2130-56000-040,Supplies,,,658.00,244.60,600.00,547.15,574.00,20.91,592.12,18.12,3.16%,
,,,,Totals,"75,494.00","73,868.74","76,676.00","76,780.97","76,839.00","54,690.09","59,112.14","-17,726.86",-23.07%,
677,Cost Center:,050 - FREEPORT,MIDDLE,SCHOOL,,,,,,,,,,
678,1000-0000-2130-51010-050,Nurse Salary,,,"41,905.00","44,320.02","65,995.00","39,687.44","69,630.00","97,384.34","71,414.42","1,784.42",2.56%,
679,1000-0000-2130-52010-050,Nurse Benefits,,,"17,243.00","14,496.08","21,023.00","12,360.40","13,106.00","2,733.55","13,120.43",14.43,0.11%,
680,1000-0000-2130-52310-050,Retirement,,,"1,664.00","1,772.39","2,745.00","1,651.00","2,897.00",389.40,"2,970.84",73.84,2.55%,
681,1000-0000-2130-53000-050,Purchased,Professional,,200.00,"2,019.26",200.00,88.00,200.00,0.00,200.00,0.00,0.00%,
682,1000-0000-2130-54310-050,Repairs &,Maintenance,,135.00,135.00,135.00,131.73,135.00,0.00,135.00,0.00,0.00%,
683,1000-0000-2130-56000-050,Supplies,,,927.00,963.70,917.00,896.87,844.00,131.70,791.24,-52.76,-6.25%,
,,,,Totals,"62,074.00","63,706.45","91,015.00","54,815.44","86,812.00","100,638.99","88,631.93","1,819.93",2.10%,
,,,,2019,2019,2020,2020,2021,2021,2022,,,,
,,,,Total,Budget Total Activity,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
684,Cost Center:,300 - FREEPORT,HIGH SCHOOL,,,,,,,,,,,
685,1000-0000-2130-51010-300,Nurse Salary,,,"53,694.00","57,818.03","61,309.00","61,708.78","63,603.00","85,317.52","66,700.84","3,097.84",4.87%,
686,1000-0000-2130-52010-300,Nurses,Benefits,,"24,114.00","20,803.03","20,922.00","21,149.41","21,520.00","4,660.01","21,347.03",-172.97,-0.80%,
687,1000-0000-2130-52310-300,Retirement,,,"2,132.00","2,312.20","2,550.00","2,566.98","2,645.00",602.30,"2,774.75",129.75,4.91%,
688,1000-0000-2130-53000-300,Purchased,Professional,,200.00,0.00,200.00,28.50,200.00,0.00,200.00,0.00,0.00%,
689,1000-0000-2130-54310-300,Repairs &,Maintenance,,135.00,0.00,135.00,0.00,135.00,0.00,135.00,0.00,0.00%,
690,1000-0000-2130-56000-300,Supplies,,,"1,399.00","1,245.30","1,541.00","1,181.37","1,617.00",254.69,"1,611.30",-5.70,-0.35%,
,,,,Totals,"81,674.00","82,178.56","86,657.00","86,635.04","89,720.00","90,834.52","92,768.92","3,048.92",3.40%,
691,Function: 2210 - IMPROVEMENT,OF,INSTRUCTION,,,,,,,,,,,
692,Cost Center:,900 - SYSTEM,WIDE,,,,,,,,,,,
693,1000-0000-2210-51040-900,Curriculum,Director Salary,,"66,744.00","69,414.02","72,191.00","72,190.82","75,078.00","83,567.31","77,330.96","2,252.96",3.00%,
694,1000-0000-2210-52040-900,Curriculum,Director Benefits,,"16,549.00","12,606.95","14,375.00","12,380.74","12,671.00","11,940.18","13,269.87",598.87,4.73%,
695,1000-0000-2210-52340-900,Retirement,,,"2,756.00","2,755.74","3,003.00","3,003.26","3,123.00","1,196.60","3,216.97",93.97,3.01%,
696,1000-0000-2210-53000-900,Purchased,Professional,,"4,000.00",124.00,"4,000.00",0.00,"4,000.00",150.00,"8,000.00","4,000.00",100.00%,14
697,1000-0000-2210-55810-900,Travel,,,700.00,447.14,700.00,0.00,700.00,0.00,700.00,0.00,0.00%,
698,1000-0000-2210-56400-900,Curriculum,Materials,,"50,000.00","50,939.65","50,000.00","24,572.76","50,000.00","18,800.30","50,000.00",0.00,0.00%,
699,1000-0000-2210-58100-900,Dues & Fees,,,900.00,"1,543.00",900.00,"1,219.00","1,000.00",524.00,"1,000.00",0.00,0.00%,
,,,,Totals,"141,649.00","137,830.50","145,169.00","113,366.58","146,572.00","116,178.39","153,517.80","6,945.80",4.74%,
700,Function: 2213 - INSTRUCTIONAL,STAFF,TRAINING,,,,,,,,,,,
701,Cost Center:,010 - DURHAM,COMMUNITY,,,,,,,,,,,
702,1000-0000-2213-51500-010,Stipends,,,0.00,0.00,0.00,0.00,0.00,0.00,"19,586.64","19,586.64",100.00%,
703,1000-0000-2213-52000-010,Stipend,Benefits - DCS,,0.00,0.00,0.00,0.00,0.00,0.00,323.20,323.20,100.00%,1
704,1000-0000-2213-52300-010,Stipend,Retirement - DCS,,0.00,0.00,0.00,0.00,0.00,0.00,814.80,814.80,100.00%,1
,,,,Totals,0.00,0.00,0.00,0.00,0.00,0.00,"20,724.64","20,724.64",100.00%,1
705,Cost Center:,020 - MORSE,STREET,,,,,,,,,,,
706,1000-0000-2213-51500-020,Stipends -,MSS,,0.00,0.00,0.00,0.00,0.00,0.00,"13,700.19","13,700.19",100.00%,1
707,1000-0000-2213-52000-020,Stipend,Benefits - MSS,,0.00,0.00,0.00,0.00,0.00,0.00,226.05,226.05,100.00%,1
708,1000-0000-2213-52300-020,Stipend,Retirement - MSS,,0.00,0.00,0.00,0.00,0.00,0.00,569.95,569.95,100.00%,1
709,1000-0000-2213-55810-020,Travel,,,0.00,0.00,0.00,0.00,0.00,0.00,"1,000.00","1,000.00",100.00%,1
,,,,Totals,0.00,0.00,0.00,0.00,0.00,0.00,"15,496.19","15,496.19",100.00%,1
710,Cost Center:,030 - POWNAL,ELEMENTARY,,,,,,,,,,,
711,1000-0000-2213-51500-030,Stipends,,,0.00,0.00,0.00,0.00,0.00,0.00,"5,009.16","5,009.16",100.00%,1
712,1000-0000-2213-52000-030,Stipend,Benefits - PES,,0.00,0.00,0.00,0.00,0.00,0.00,82.66,82.66,100.00%,1
,,,,,,,14 of 24,,,,,,,
