,,,,,RSU,No.,5,,,,,
Article,4,Other,Instruction- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.9500.1000.51500.300,,Stipends,"$81,262.81","$80,157.40",,"$70,731.00",,"$80,000.00","$93,855.00","$13,855.00",17.32
,1000.9500.1000.52000.300,,Stipend Benefits,"$2,001.47",,$440.91,,"$4,255.51","$3,834.00","$2,130.00","($1,704.00)",(44.44)
,1000.9500.1000.52300.300,,Retirement,$45.20,,$0.00,,"$2,380.76","$3,189.00","$4,195.00","$1,006.00",31.55
,1000.9500.1000.53400.300,,Co-Curricular Purch,Professional $0.00,,$0.00,,$0.00,$0.00,"$4,377.00","$4,377.00",0.00
,1000.9500.1000.55800.300,,Co-Curricular Travel,$0.00,,$0.00,,$0.00,$0.00,$150.00,$150.00,0.00
,1000.9500.1000.56000.300,,Supplies,"$1,116.02",,$0.00,,$697.93,$0.00,$0.00,$0.00,0.00
,1000.9500.1000.56100.300,,Instructional Supplies,$0.00,"$2,692.79",,,"$2,550.74","$2,205.00","$2,670.00",$465.00,21.09
,1000.9500.1000.58100.300,,Dues and Fees,"$4,595.00","$5,643.07",,,"$8,397.22","$13,470.00","$9,550.00","($3,920.00)",(29.10)
Program:,,CO-CURRICULAR,9-12 - 9500,"$89,020.50","$88,934.17",,"$89,013.16",,"$102,698.00","$116,927.00","$14,229.00",13.86
,1000.9600.1000.51040.300,,Athletic Director Salaries,"$80,857.90",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.9600.1000.51230.300,,Other Wages,"$14,505.37",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.9600.1000.51500.300,,Stipends-Coaches,"$108,087.66","$151,983.60",,"$155,001.69",,"$164,788.00","$163,381.00","($1,407.00)",(0.85)
,1000.9600.1000.52000.300,,Stipend Benefits,"$8,050.66",,$719.07,"$10,869.48",,"$8,239.00","$3,708.00","($4,531.00)",(54.99)
,1000.9600.1000.52030.300,,Other Benefits,"$1,377.34",,$144.61,,"$1,323.61",$0.00,$0.00,$0.00,0.00
,1000.9600.1000.52040.300,,Athletic Director Benefits,"$9,370.75",,$0.00,,$0.00,"$16,364.00",$0.00,"($16,364.00)",(100.00)
,1000.9600.1000.52080.300,,Support Beneifts,$0.00,,$0.00,,$0.00,"$2,121.00",$0.00,"($2,121.00)",(100.00)
,1000.9600.1000.52300.300,,Retirement,$247.61,,$116.48,,"$3,797.32","$6,855.00","$7,303.00",$448.00,6.54
,1000.9600.1000.52330.300,,Retirement,$61.98,,$0.00,,$0.96,$0.00,$0.00,$0.00,0.00
,1000.9600.1000.52340.300,,Retirement,"$3,363.68",,$0.00,,$0.00,"$3,136.00",$0.00,"($3,136.00)",(100.00)
,1000.9600.1000.53000.300,,Game Officials,"$23,029.98","$27,704.56",,"$40,556.96",,"$47,407.00","$54,557.00","$7,150.00",15.08
,1000.9600.1000.55000.300,,Purchased Services,"$23,649.07","$28,007.12",,"$25,959.92",,"$58,718.00","$103,710.00","$44,992.00",76.62
,1000.9600.1000.55800.300,,Travel,$862.72,"$1,806.00",,,"$1,276.33","$1,270.00","$1,270.00",$0.00,0.00
,1000.9600.1000.56000.300,,Supplies,"$25,667.73","$45,470.85",,"$39,739.50",,"$41,838.00","$42,000.00",$162.00,0.39
,Page 37,of 80,,,,,,,,,,
