,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,and Staff,Support-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,
,1000.0000.2213.53000.950,,,K-8,Purchased Professional,"$46,072.00","$33,925.78",,"$47,041.55","$63,300.00","$63,800.00",,$500.00,0.79
,1000.0000.2213.55810.950,,,Travel,,$0.00,,$737.90,$980.87,$250.00,$250.00,,$0.00,0.00
,1000.0000.2213.56000.950,,,Supplies,,$0.00,,$0.00,$0.00,$350.00,$350.00,,$0.00,0.00
,1000.0000.2213.56400.950,,,Books,,"$1,400.00",,$641.09,"$1,217.67","$1,400.00","$1,400.00",,$0.00,0.00
,Program:,OVERHEAD - 0000,,,,"$147,356.83","$173,927.57",,"$208,681.43","$219,227.00","$249,421.00","$30,194.00",,13.77
,Function:,INSTRUCTIONAL,STAFF TRAINING,- 2213,,"$147,356.83","$173,927.57",,"$208,681.43","$219,227.00","$249,421.00","$30,194.00",,13.77
Cost,Center: K-8,- 950,,,,"$147,356.83","$173,927.57",,"$208,681.43","$219,227.00","$249,421.00","$30,194.00",,13.77
,1000.0000.2213.51500.990,,,New,Educator Mentors 9-12,$0.00,,$0.00,$0.00,"$16,032.00","$16,032.00",,$0.00,0.00
,Program:,OVERHEAD - 0000,,,,$0.00,,$0.00,$0.00,"$16,032.00","$16,032.00",,$0.00,0.00
,Function:,INSTRUCTIONAL,STAFF TRAINING,- 2213,,$0.00,,$0.00,$0.00,"$16,032.00","$16,032.00",,$0.00,0.00
Cost,Center: 9-12,- 990,,,,$0.00,,$0.00,$0.00,"$16,032.00","$16,032.00",,$0.00,0.00
Grand,Total:,,,,,"$3,389,184.25","$3,899,394.51",,"$4,308,020.22","$4,644,307.00","$4,906,366.00","$262,059.00",,5.64
,,,,,,End of,Report,,,,,,,
,,,,,,Page 65,of 89,,,,,,,
,,,,,,RSU,No. 5,,,,,,,
FY27,Article,6,System,,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
,1000.0000.2310.51500.900,,,,Stipends,"$5,625.00",,"$4,900.00","$5,150.00","$7,150.00","$7,150.00",,$0.00,0.00
,1000.0000.2310.52000.900,,,,Board Stipend Benefits,$452.96,,$386.64,$442.07,$674.00,$675.00,,$1.00,0.15
,1000.0000.2310.53400.900,,,,Professional Services,"$14,500.92","$84,228.45",,"$110,559.87","$92,970.00","$90,185.00","($2,785.00)",,(3.00)
,1000.0000.2310.55200.900,,,,Insurance,"$43,476.80","$34,561.65",,"$43,316.00","$47,555.00","$47,555.00",,$0.00,0.00
,1000.0000.2310.55800.900,,,,Committee Travel,$0.00,,$0.00,$0.00,$150.00,$150.00,,$0.00,0.00
,1000.0000.2310.56000.900,,,,Supplies,$453.21,,$834.97,"$1,427.68",$850.00,$960.00,,$110.00,12.94
,1000.0000.2310.58100.900,,,,Dues & Fees,"$6,395.56",,"$6,860.00","$7,203.00","$7,592.00","$7,592.00",,$0.00,0.00
Program:,OVERHEAD,-,0000,,,"$70,904.45","$131,771.71",,"$168,098.62","$156,941.00","$154,267.00","($2,674.00)",,(1.70)
Function:,BOARD,OF,DIRECTORS,- 2310,,"$70,904.45","$131,771.71",,"$168,098.62","$156,941.00","$154,267.00","($2,674.00)",,(1.70)
,1000.0000.2314.53100.900,,,,Election Costs,$0.00,,"$5,481.49","$4,883.64","$7,525.00","$6,600.00",,($925.00),(12.29)
Program:,OVERHEAD,-,0000,,,$0.00,,"$5,481.49","$4,883.64","$7,525.00","$6,600.00",,($925.00),(12.29)
Function:,ELECTION,COSTS,-,2314,,$0.00,,"$5,481.49","$4,883.64","$7,525.00","$6,600.00",,($925.00),(12.29)
,1000.0000.2320.51040.900,,,,Superintendent's Salary,"$210,808.82","$219,280.05",,"$238,427.39","$244,059.00","$256,185.00","$12,126.00",,4.97
,1000.0000.2320.51180.900,,,,Support Wages,"$75,772.00","$78,424.02",,"$82,345.22","$87,286.00","$92,087.00",,"$4,801.00",5.50
,1000.0000.2320.52040.900,,,,Superintendent Benefits,"$32,959.48","$32,994.48",,"$38,639.32","$61,007.00","$57,544.00","($3,463.00)",,(5.68)
,,,,,,Page,66 of 89,,,,,,,
