,,,,,,,RSU No.,5,,,,,,,,
,Article 4,Other,Instruction-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024 Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,,,
,Program:,CO-CURRICULAR,K-8 - 9100,,"$11,041.00",,"$14,819.11","$14,289.77",,"$11,269.00",,"$12,012.00",,$743.00,,6.59
,Function:,REGULAR,INSTRUCTION,- 1000,"$11,041.00",,"$14,819.11","$14,289.77",,"$11,269.00",,"$12,012.00",,$743.00,,6.59
Cost,Center:,MAST LANDING,- 040,,"$11,041.00",,"$14,819.11","$14,289.77",,"$11,269.00",,"$12,012.00",,$743.00,,6.59
,1000.9100.1000.51500.050,,Stipends,,,"$22,327.67",,"$23,998.50","$54,113.00",,"$41,958.00",,"$34,242.00","($7,716.00)",,(18.39)
,1000.9100.1000.52000.050,,Stipend,Benefits,,$20.37,,"$1,045.47","$7,462.20",,"$1,721.00",,$615.00,"($1,106.00)",,(64.26)
,1000.9100.1000.52300.050,,,Retirement,,$0.00,,$872.59,"$1,843.25",,"$1,876.00",,"$1,627.00",($249.00),,(13.27)
,1000.9100.1000.56000.050,,Supplies,,,($120.48),,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.9100.1000.56100.050,,,Instructional Supplies,,"$4,973.86",,"$3,906.04","$3,867.48",,"$3,900.00",,"$3,900.00",,$0.00,0.00
,1000.9100.1000.58100.050,,Dues,& Fees,,"$27,157.00",,"$2,465.90","$1,902.50",,"$2,350.00",,"$2,350.00",,$0.00,0.00
,Program:,CO-CURRICULAR,K-8 - 9100,,"$54,358.42",,"$32,288.50","$69,188.43",,"$51,805.00",,"$42,734.00",,"($9,071.00)",,(17.51)
,1000.9200.1000.51180.050,,Support,Salary,,$0.00,,"$2,007.53",$314.49,,,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.51230.050,,Other,Wages,,$0.00,,$200.00,$400.00,,,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.51500.050,,,Stipends-Coaches,,"$89,064.15",,"$66,742.11","$88,798.21",,"$73,489.00",,"$78,289.00","$4,800.00",,6.53
,1000.9200.1000.52000.050,,Benefits,,,"$1,167.60",,"$5,627.06","$10,719.80",,"$4,438.00",,"$1,323.00","($3,115.00)",,(70.19)
,1000.9200.1000.52030.050,,Other,Benefits,,$59.09,,"$1,912.80",,$24.87,,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.52080.050,,Support,Benefits,,$0.00,,$297.12,$110.93,,,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.52300.050,,,Retirement,,$0.00,,"$1,494.18","$1,723.36",,"$3,285.00",,"$3,500.00",,$215.00,6.54
,1000.9200.1000.52330.050,,,Retirement,,$0.00,,$3.84,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.52380.050,,,Retirement for Regular Employees,,$0.00,,$62.19,,$11.64,,$0.00,$0.00,,$0.00,0.00
,1000.9200.1000.53000.050,,Game,Officials,,"$3,818.28",,"$12,610.84","$13,750.54",,"$26,647.00",,"$26,647.00",,$0.00,0.00
,1000.9200.1000.56100.050,,Program,Supplies,,"$26,649.48",,"$22,778.63","$25,961.64",,"$28,404.00",,"$28,245.00",($159.00),,(0.56)
,03/27/2024,,,,,,,,,,,,,,35 of 81,
