,,,,,,,RSU,No. 5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
,Account,Number,Description,,,Budget,Adjustments GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2200.1000.51010.010,,Teacher,Salaries,,"$238,882.00",$0.00,"$238,882.00",$0.00,$0.00,"$238,882.00","$238,882.64",($0.64),0.00%
,1000.2200.1000.51020.010,,Ed Tech,Salaries,,"$149,559.00",$0.00,"$149,559.00",$0.00,$0.00,"$149,559.00","$248,574.36","($99,015.36)",-66.20%
,1000.2200.1000.52010.010,,Teacher,Benefits,,"$79,285.00",$0.00,"$79,285.00",$0.00,$0.00,"$79,285.00",$0.00,"$79,285.00",100.00%
,1000.2200.1000.52020.010,,Ed Tech,Benefits,,"$49,424.00",$0.00,"$49,424.00",$0.00,$0.00,"$49,424.00",$0.00,"$49,424.00",100.00%
,1000.2200.1000.52310.010,,Retirement,,,"$11,581.00",$0.00,"$11,581.00",$0.00,$0.00,"$11,581.00",$0.00,"$11,581.00",100.00%
,1000.2200.1000.52320.010,,Retirement,,,"$6,685.00",$0.00,"$6,685.00",$0.00,$0.00,"$6,685.00",$0.00,"$6,685.00",100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$535,416.00",$0.00,"$535,416.00",$0.00,$0.00,"$535,416.00","$487,457.00","$47,959.00",8.96%
,1000.2300.1000.51010.010,,Teacher,Salaries,,"$53,255.00",$0.00,"$53,255.00",$0.00,$0.00,"$53,255.00","$53,255.06",($0.06),0.00%
,1000.2300.1000.51020.010,,Ed Tech,Salaries,,"$151,720.00",$0.00,"$151,720.00",$0.00,$0.00,"$151,720.00","$67,336.15","$84,383.85",55.62%
,1000.2300.1000.52010.010,,Teacher,Benefits,,"$30,463.00",$0.00,"$30,463.00",$0.00,$0.00,"$30,463.00",$0.00,"$30,463.00",100.00%
,1000.2300.1000.52020.010,,Ed Tech,Benefits,,"$85,922.00",$0.00,"$85,922.00",$0.00,$0.00,"$85,922.00",$0.00,"$85,922.00",100.00%
,1000.2300.1000.52310.010,,Retirement,,,"$2,632.00",$0.00,"$2,632.00",$0.00,$0.00,"$2,632.00",$0.00,"$2,632.00",100.00%
,1000.2300.1000.52320.010,,Retirement,,,"$6,782.00",$0.00,"$6,782.00",$0.00,$0.00,"$6,782.00",$0.00,"$6,782.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT,- 2300,"$330,774.00",$0.00,"$330,774.00",$0.00,$0.00,"$330,774.00","$120,591.21","$210,182.79",63.54%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$866,190.00",$0.00,"$866,190.00",$0.00,$0.00,"$866,190.00","$608,048.21","$258,141.79",29.80%
,1000.2800.2110.51010.010,,Social Worker,Salary,,"$78,374.00",$0.00,"$78,374.00",$0.00,$0.00,"$78,374.00","$75,443.09","$2,930.91",3.74%
,1000.2800.2110.52010.010,,Social Worker,Benefits,,"$20,524.00",$0.00,"$20,524.00",$0.00,$0.00,"$20,524.00",$0.00,"$20,524.00",100.00%
,1000.2800.2110.52310.010,,Retirement,,,"$3,844.00",$0.00,"$3,844.00",$0.00,$0.00,"$3,844.00",$0.00,"$3,844.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$102,742.00",$0.00,"$102,742.00",$0.00,$0.00,"$102,742.00","$75,443.09","$27,298.91",26.57%
,,Function:,Attendance,& Social Work,- 2110,"$102,742.00",$0.00,"$102,742.00",$0.00,$0.00,"$102,742.00","$75,443.09","$27,298.91",26.57%
,1000.2800.2150.51010.010,,Speech &,Audiology Salaries,,"$116,964.00",$0.00,"$116,964.00",$0.00,$0.00,"$116,964.00","$116,948.31",$15.69,0.01%
,1000.2800.2150.52010.010,,Speech &,Audiology Benefits,,"$21,108.00",$0.00,"$21,108.00",$0.00,$0.00,"$21,108.00",$0.00,"$21,108.00",100.00%
,1000.2800.2150.52310.010,,Retirement,,,"$5,351.00",$0.00,"$5,351.00",$0.00,$0.00,"$5,351.00",$0.00,"$5,351.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$143,423.00",$0.00,"$143,423.00",$0.00,$0.00,"$143,423.00","$116,948.31","$26,474.69",18.46%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$143,423.00",$0.00,"$143,423.00",$0.00,$0.00,"$143,423.00","$116,948.31","$26,474.69",18.46%
,1000.2800.2160.51010.010,,OT Salary,,,"$76,811.00",$0.00,"$76,811.00",$0.00,$0.00,"$76,811.00","$76,810.56",$0.44,0.00%
,1000.2800.2160.52010.010,,OT Benefits,,,"$25,665.00",$0.00,"$25,665.00",$0.00,$0.00,"$25,665.00",$0.00,"$25,665.00",100.00%
,1000.2800.2160.52310.010,,Retirement,,,"$3,745.00",$0.00,"$3,745.00",$0.00,$0.00,"$3,745.00",$0.00,"$3,745.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$106,221.00",$0.00,"$106,221.00",$0.00,$0.00,"$106,221.00","$76,810.56","$29,410.44",27.69%
,,,,Function: OT,- 2160,"$106,221.00",$0.00,"$106,221.00",$0.00,$0.00,"$106,221.00","$76,810.56","$29,410.44",27.69%
,,Cost,Center: DURHAM,COMMUNITY,- 010,"$1,218,576.00",$0.00,"$1,218,576.00",$0.00,$0.00,"$1,218,576.00","$877,250.17","$341,325.83",28.01%
,,,,,,,Page 9,of 44,,,,,,
