,,,,,,RSU No.,5,,,,,,,
Article,6,System,Administration-,Adopted,,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,FY25 Adopted,,,,,,,,
,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,Difference,,Difference
,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,
,1000.0000.2320.53300.900,,Employee,Training & Development,$0.00,,$0.00,,$0.00,"$3,290.00","$3,520.00",,$230.00,6.99
,1000.0000.2320.53400.900,,Professional,Services,"$100,903.79",,"$117,523.12","$87,919.47",,"$112,223.00","$71,695.00","($40,528.00)",,(36.11)
,1000.0000.2320.54330.900,,Software,Repairs & Maintenance,"$79,788.74",,"$71,648.05","$67,555.40",,"$10,000.00","$10,000.00",,$0.00,0.00
,1000.0000.2320.54430.900,,,Rental/Leases,($528.00),,$0.00,,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2320.55310.900,,Postage,,"$6,331.86",,"$6,842.79","$9,088.81",,"$5,200.00","$7,200.00","$2,000.00",,38.46
,1000.0000.2320.55400.900,,Advertising,,"$1,938.77",,$0.00,"$1,854.00",,"$1,500.00","$1,500.00",,$0.00,0.00
,1000.0000.2320.55800.900,,Travel,,$125.64,,"$10,893.18","$2,105.17",,"$2,600.00","$2,600.00",,$0.00,0.00
,1000.0000.2320.56000.900,,Supplies,,"$14,041.76",,"$15,523.69","$12,436.27",,"$15,400.00","$15,400.00",,$0.00,0.00
,1000.0000.2320.56400.900,,Books,,$506.25,,$23.96,,$0.00,$100.00,$100.00,,$0.00,0.00
,1000.0000.2320.57340.900,,Technology,Equipment,$557.90,,$0.00,,$0.00,"$1,000.00",$0.00,"($1,000.00)",,(100.00)
,1000.0000.2320.58100.900,,Dues,and Fees,"$12,387.80",,"$11,579.74","$11,563.43",,"$6,406.00","$7,118.00",,$712.00,11.11
,1000.0000.2320.59000.900,,Aspirations,/ Miscellaneous,$0.00,,"$11,927.48","$6,107.74",,"$8,600.00","$8,600.00",,$0.00,0.00
Program:,OVERHEAD,- 0000,,,"$546,099.34 $597,708.13",,"$558,208.00",,"$551,534.00","$535,982.00",,"($15,552.00)",,(2.82)
Function:,EXECUTIVE,,ADMINISTRATION,- 2320,"$546,099.34 $597,708.13",,"$558,208.00",,"$551,534.00","$535,982.00",,"($15,552.00)",,(2.82)
,1000.0000.2500.51040.900,,,Administrator Salary,"$116,394.97",,"$169,613.56","$114,630.00",,"$109,200.00","$129,055.00","$19,855.00",,18.18
,1000.0000.2500.51180.900,,Salaries,,"$151,962.36",,"$168,798.85","$174,868.53",,"$170,726.00","$203,665.00","$32,939.00",,19.29
,1000.0000.2500.52040.900,,Admin,Benefits,"$7,460.21",,"$18,841.70","$19,360.36",,"$43,094.00","$47,153.00","$4,059.00",,9.42
,1000.0000.2500.52080.900,,Benefits,,"$34,474.33",,"$44,766.13","$43,124.34",,"$56,221.00","$42,897.00","($13,324.00)",,(23.70)
,1000.0000.2500.52340.900,,Retirement,,$0.00,,"$2,764.16","$5,440.89",,"$5,678.00",$0.00,"($5,678.00)",,(100.00)
,1000.0000.2500.52380.900,,Retirement,,$0.00,,"$4,269.83","$8,134.73",,"$8,877.00","$10,183.00","$1,306.00",,14.71
,1000.0000.2500.53300.900,,Training,& Development Services,$0.00,,$0.00,$595.00,,"$2,000.00","$2,500.00",,$500.00,25.00
,1000.0000.2500.53400.900,,Purchased,Professional,$0.00,,$0.00,,$0.00,$0.00,"$40,900.00","$40,900.00",,0.00
,03/27/2024,,,,,,,,,,,,62 of 81,
