,,,,,,RSU,No.,5,,,,,,
Article 2,Special,Education,-,Adopted,,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023,Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,,FY24,Adopted,,,
Account,,,Description,,,,,,,,,,,
1000.2800.2150.52010.010,,Speech,& Audiology,Benefits,"$10,545.46","$2,135.57",,,"$9,707.88","$16,465.00","$14,233.00",,"($2,232.00)",(13.56)
1000.2800.2150.52010.020,,Speech,& Audiology,Benefits,"$10,678.06","$2,158.34",,,"$9,862.16","$10,065.00","$17,767.00",,"$7,702.00",76.52
1000.2800.2150.52010.030,,Speech,& Audiology,Benefits,"$6,587.03","$1,925.04",,,"$8,574.09","$9,631.00","$10,521.00",,$890.00,9.24
1000.2800.2150.52010.040,,Speech,& Audiology,Benefits,"$10,699.85","$2,888.64",,"$12,861.75",,"$23,267.00","$14,089.00",,"($9,178.00)",(39.45)
1000.2800.2150.52010.050,,Speech,& Audiology,Benefits,"$10,554.71","$2,199.01",,,"$9,774.95","$10,047.00","$8,683.00",,"($1,364.00)",(13.58)
1000.2800.2150.52010.300,,Speech,& Audiology,Benefits,$716.76,,$0.00,,"$9,774.74","$10,045.00","$8,683.00",,"($1,362.00)",(13.56)
1000.2800.2150.52010.990,,Speech,& Audiology,Benefits,"$9,796.38","$2,198.99",,,$0.00,$0.00,$0.00,,$0.00,0.00
1000.2800.2150.52310.010,,,Retirement,,"$3,288.84",,$734.22,,"$3,252.56","$4,409.00","$4,869.00",,$460.00,10.43
1000.2800.2150.52310.020,,,Retirement,,"$2,343.48",,$528.06,,"$2,259.13","$2,300.00","$5,148.00",,"$2,848.00",123.83
1000.2800.2150.52310.030,,,Retirement,,"$1,358.44",,$270.96,,"$1,136.46","$1,289.00","$1,811.00",,$522.00,40.50
1000.2800.2150.52310.040,,,Retirement,,"$1,837.16",,$406.44,,"$1,704.82","$4,240.00","$2,178.00",,"($2,062.00)",(48.63)
1000.2800.2150.52310.050,,,Retirement,,"$1,762.38",,$373.38,,"$1,653.96","$1,705.00","$1,928.00",,$223.00,13.08
1000.2800.2150.52310.300,,,Retirement,,$228.78,,$0.00,,"$1,653.94","$1,139.68","$1,928.00",,$788.32,69.17
1000.2800.2150.52310.990,,,Retirement,,"$1,579.50",,$373.38,,$0.00,$0.00,$0.00,,$0.00,0.00
1000.2800.2150.55800.030,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2150.55800.040,,Travel,,,$0.00,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2150.55800.050,,Travel,,,$8.99,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2150.55800.900,,Travel,- Speech,District Wide,$0.00,,$0.00,,$0.00,$0.00,$375.00,,$375.00,0.00
1000.2800.2160.51010.010,,OT,Salary,,$0.00,"$59,199.84",,"$50,178.64",,"$72,426.00","$67,107.00",,"($5,319.00)",(7.34)
1000.2800.2160.51010.020,,OT,Salary,,"$32,217.35","$30,418.69",,"$36,414.62",,"$45,323.00","$72,925.00",,"$27,602.00",60.90
1000.2800.2160.51010.030,,OT,Salary,,$0.00,"$12,422.65",,"$14,416.11",,"$17,306.00","$19,760.00",,"$2,454.00",14.18
1000.2800.2160.51010.040,,OT,Salary,,"$10,739.04","$10,139.53",,"$12,138.12",,"$22,422.00","$13,802.00",,"($8,620.00)",(38.44)
1000.2800.2160.51010.050,,OT,Salary,,"$5,369.52","$5,069.84",,"$13,194.50",,"$7,374.00","$7,828.00",,$454.00,6.16
1000.2800.2160.51010.300,,OT,Salary,,"$5,369.53","$5,069.50",,,"$6,068.93","$6,439.00","$6,901.00",,$462.00,7.18
,03/22/2023,,,,,,,,,,,,Page 19,
