,,,,,RSU,No.,5,,,,,
Article,5,Student and,Staff Support-,Adopted,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2220.52310.010,,Retirement,"$2,745.34",,$652.80,,"$2,973.40","$3,140.00","$3,609.00",$469.00,14.94
,1000.0000.2220.52320.010,,Ed Tech Retirement,$0.00,,$0.00,,$612.42,$599.00,$864.00,$265.00,44.24
,1000.0000.2220.54330.010,,Software,"$1,042.50","$1,042.50",,,"$1,060.35","$1,043.00","$1,129.00",$86.00,8.25
,1000.0000.2220.56000.010,,Supplies,$0.00,"$1,120.73",,,"$1,282.81","$1,300.00",$0.00,"($1,300.00)",(100.00)
,1000.0000.2220.56100.010,,Supplies,"$1,511.42",,$143.33,,$0.00,$0.00,"$1,300.00","$1,300.00",0.00
,1000.0000.2220.56400.010,,Books,"$8,539.73","$8,652.47",,,"$8,999.44","$11,114.50","$10,080.00","($1,034.50)",(9.31)
Program:,OVERHEAD,- 0000,,"$101,319.68","$96,637.40",,"$130,697.85",,"$137,213.50","$150,184.00","$12,970.50",9.45
Function:,LIBRARY,SERVICES,- 2220,"$101,319.68","$96,637.40",,"$130,697.85",,"$137,213.50","$150,184.00","$12,970.50",9.45
,1000.0000.2230.51010.010,,Teacher Salaries,"$51,937.60",,$12.11,"$12,468.70",,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.51500.010,,Stipends,"$1,385.02","$3,180.78",,,"$1,422.00","$3,815.00","$3,815.00",$0.00,0.00
,1000.0000.2230.52000.010,,Benefits,$19.70,,$1.63,,$23.40,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52010.010,,Teacher Benefits,"$6,613.16","$1,394.25",,,$180.80,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52300.010,,Stipend Retirement,$2.22,,$0.00,,$54.60,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52310.010,,Retirement,"$2,210.10",,$387.39,,$478.80,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.54330.010,,Software,$0.00,,$0.00,,$196.54,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.55000.010,,Other Purchased Services,$440.00,,$140.00,,"$1,069.00",$0.00,$0.00,$0.00,0.00
,1000.0000.2230.56500.010,,Supplies,$47.00,"$6,485.90",,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$62,654.80","$11,602.06",,"$15,893.84",,"$3,815.00","$3,815.00",$0.00,0.00
Function:,,INSTRUCTION,RELATED TECHNOLOGY -,"$62,654.80","$11,602.06",,"$15,893.84",,"$3,815.00","$3,815.00",$0.00,0.00
2230,,,,,,,,,,,,
Cost,Center:,DURHAM,COMMUNITY - 010,"$316,353.95","$242,603.61",,"$400,940.44",,"$381,558.28","$513,747.00","$132,188.72",34.64
,Page 42,of 80,,,,,,,,,,
